title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link
Rumah Cantik Scandinavian Dalam Mini Cluster 4 Unit Di Jalan Kaliurang Km 12 Sukoharjo Ngaglik Sleman,Rp 720 Juta,2.0,1.0,1.0,: 91 m²,: 50 m²,"Rumah, Premier, Dekat Tempat Ibadah, Dekat Landmark",Ayanti Sahabat Properti Jogja,Diperbarui 1 minggu yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos17900072/
Rumah Siap Huni Elegan Include Pagar Canopy Di Sleman Jogja,Rp 875 Juta,3.0,2.0,1.0,: 107 m²,: 70 m²,"Rumah, Premier, Siap Huni, Dekat Sekolah, Dekat Fasilitas Kesehatan",Ali Heiwa Property,Diperbarui 1 minggu yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos17623516/
Hunian Mewah Eksklusif Impian Keluarga di Maguwoharjo Sleman,"Rp 2,37 Miliar",3.0,3.0,1.0,: 129 m²,: 126 m²,"Rumah, Premier",Rizal Heiwa Property,Diperbarui 1 minggu yang lalu oleh,"Depok, Sleman",/properti/sleman/hos17748714/
"Rumah Mewah 2 Lantai Lokasi Strategis di Pogung Baru, Sleman, Yogyakarta",Rp 20 Miliar,5.0,5.0,2.0,: 800 m²,: 900 m²,"Rumah, Premier, Bebas Banjir, Dekat Sekolah, Dekat Fasilitas Kesehatan",Wisnu Wardhana,Diperbarui 1 minggu yang lalu oleh,"Mlati, Sleman",/properti/sleman/hos17971296/
Rumah Baru Dalam Perumahan Di Jl Magelang Km 7 Dekat Sleman City Hall luas Tanah : 110 M2 luas Bangunan : 112 M2 jumlah Lantai : 2 kamar Tidur : 3 kam,"Rp 2,35 Miliar",3.0,2.0,2.0,: 111 m²,: 112 m²,"Rumah, Featured, Dekat Sekolah",Muhlisin panoramicland,Diperbarui 11 jam yang lalu oleh,"Sleman, Yogyakarta",/properti/yogyakarta/hos17883655/
"Rumah Desa cantik diTuri Sleman pinggir jln u/guest house,villa","Rp 2,1 Miliar",5.0,6.0,2.0,: 942 m²,: 250 m²,"Rumah, Featured, Siap Huni",Lidia Chandra,Diperbarui 1 hari yang lalu oleh,"Turi, Sleman",/properti/sleman/hos12742100/
Rumah 2 Lantai View Gunung Merapi Furnished,Rp 555 Juta,2.0,1.0,1.0,: 59 m²,: 93 m²,"Rumah, Featured, Full Furnished, Dekat Sekolah, Dekat Tempat Wisata",Rifany Cahyaning,Diperbarui 2 hari yang lalu oleh,"Mlati, Sleman",/properti/sleman/hos17895399/
Rumah Baru Shm Dijual Sidoarum Jogja Gamping Sleman Yogyakarta,Rp 715 Juta,2.0,2.0,1.0,: 100 m²,: 70 m²,"Rumah, Featured, Dekat Sekolah",Pt Menoreh Megah Abhipraya,Diperbarui 3 hari yang lalu oleh,"Sidoarum, Yogyakarta",/properti/yogyakarta/hos18020352/
Rumah 2 Lantai Baru Shm Dekat Malioboro Jogja Kota Yogyakarta,"Rp 1,29 Miliar",3.0,3.0,1.0,: 95 m²,: 100 m²,"Rumah, Featured",Pt Menoreh Megah Abhipraya,Diperbarui 3 hari yang lalu oleh,"Kasihan, Bantul",/properti/bantul/hos17900121/
"Rumah Shm Hook Di Banguntapan Dekat Kampus Aau,jec,rsau,utdi Dll","Rp 2,45 Miliar",4.0,3.0,2.0,: 291 m²,: 155 m²,"Rumah, Featured, Dekat Akses Transportasi, Dekat Sekolah, Dekat Landmark",Lidia Chandra,Diperbarui 3 hari yang lalu oleh,"Banguntapan, Bantul",/properti/bantul/hos12743350/
"Rumah Sudah Renovasi Unfurnished SHM di Perumahan Griya Perwita Wisata, Sleman","Rp 2,5 Miliar",4.0,2.0,1.0,: 350 m²,: 180 m²,"Rumah, Featured, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",HIVE PROPERTI,Diperbarui 4 hari yang lalu oleh,"Kaliurang, Sleman",/properti/sleman/hos18029674/
Resort Private Pool Furnished di Pusat Kota Jogja,Rp 366 Juta,1.0,1.0,1.0,: 39 m²,: 35 m²,"Rumah, Featured, Full Furnished, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan",Rifany Cahyaning,Diperbarui 6 hari yang lalu oleh,"Depok, Sleman",/properti/sleman/hos17998997/
. rumah Baru Siap Huni Desain Modern Mewah Dengan Akses Mudah Dekat Resto Tengkleng Gajah Jl. Kaliurang Km 9.,"Rp 1,42 Miliar",4.0,3.0,2.0,: 99 m²,: 150 m²,"Rumah, Featured, Siap Huni, Dekat Sekolah, Dekat Landmark",Muhlisin panoramicland,Diperbarui 1 minggu yang lalu oleh,"Ngemplak, Sleman",/properti/sleman/hos18022718/
Dijual Rumah Dalam Komplek Murah Dikota Yogyakarta,"Rp 2,55 Miliar",4.0,4.0,2.0,: 325 m²,: 250 m²,"Rumah, Featured",Umi Susanti,Diperbarui 2 minggu yang lalu oleh,"Wirobrajan, Yogyakarta",/properti/yogyakarta/hos17265449/
Rumah Dalam Kota Jogja Masuk Wilayah Kodya,Rp 1 Miliar,3.0,2.0,1.0,: 105 m²,: 85 m²,"Rumah, Featured",tri indarto,Diperbarui 1 minggu yang lalu oleh,"Kotagede, Yogyakarta",/properti/yogyakarta/hos12555877/
Rumah baru siap huni dalam cluster area jalan palagan barat hyatt,Rp 770 Juta,3.0,2.0,1.0,: 111 m²,: 60 m²,"Rumah, Featured, Siap Huni",Nanang Ibrahim,Diperbarui 1 minggu yang lalu oleh,"Mlati, Sleman",/properti/sleman/hos17422251/
Kost Aktif Eksklusif Strategis Dekat UGM,"Rp 4,5 Miliar",18.0,19.0,10.0,: 205 m²,: 260 m²,"Rumah, Featured, Full Furnished, Dekat Sekolah, Dekat Fasilitas Kesehatan",Umi Susanti,Diperbarui 2 minggu yang lalu oleh,"Depok, Sleman",/properti/sleman/hos17951037/
Rumah Baru Siap Huni 10menit Bandara Adisucipto,Rp 475 Juta,3.0,1.0,1.0,: 85 m²,: 55 m²,"Rumah, Featured, Siap Huni, Dekat Akses Transportasi",rumah jogja 24,Diperbarui 2 hari yang lalu oleh,"Berbah, Sleman",/properti/sleman/hos18087502/
Rumah cantik SHM di jl. Candigebang Condongcatur Sleman,"Rp 1,05 Miliar",3.0,2.0,1.0,: 132 m²,: 90 m²,"Rumah, Featured, Siap Huni, Dekat Sekolah",Muhammad Zidnuri,Diperbarui 2 minggu yang lalu oleh,"Depok, Sleman",/properti/sleman/hos17821439/
Rumah Lux Spek Istimewa Ring 1 Kampus Umy Hadiah Free 1 Motor,"Rp 1,97 Miliar",3.0,2.0,2.0,: 133 m²,: 80 m²,"Rumah, Featured, Dekat Akses Transportasi, Dekat Sekolah, Dekat Fasilitas Kesehatan",Zakaria Dwi Atmaja,Diperbarui 4 hari yang lalu oleh,"Kasihan, Bantul",/properti/bantul/hos18076527/
Murah!!! Rumah 2 Lantai Dekat Komplek Pemkab Sleman,Rp 975 Juta,4.0,2.0,1.0,: 183 m²,: 150 m²,"Rumah, Featured, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Zakia Netra Kencana,Diperbarui 5 hari yang lalu oleh,"Sleman, Sleman",/properti/sleman/hos18068251/
Rumah murah 2 lantai dalam perumahan jalan palagan km7 ke lokasi mudah,"Rp 1,9 Miliar",3.0,3.0,1.0,: 136 m²,: 165 m²,"Rumah, Featured, Siap Huni, Dekat Pusat Perbelanjaan",Muhlisin panoramicland,Diperbarui 1 minggu yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos17715227/
"Beli Villa Di JOGJA Gratis Mobil Pajero, HARGA MASI NEGO","Rp 7,7 Miliar",4.0,4.0,2.0,: 280 m²,: 600 m²,"Rumah, Featured, Full Furnished, Dekat Sekolah",Dian Rini,Diperbarui 1 minggu yang lalu oleh,"Sleman, Yogyakarta",/properti/yogyakarta/hos17088927/
Rumah Baru Cantik View Sawah Dekat Jl. Kaliurang Km 12,Rp 699 Juta,3.0,1.0,1.0,: 702 m²,: 70 m²,"Rumah, Featured, Siap Huni, Dekat Sekolah, Dekat Landmark",Wisnu Kawiryan,Diperbarui 1 minggu yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos17976535/
Rumah Cluster Pamela 7 Purwomartani Kalasan Sleman Yogyakart Baru,Rp 775 Juta,3.0,2.0,1.0,: 108 m²,: 80 m²,"Rumah, Featured",Anindya Dewangga,Diperbarui 1 minggu yang lalu oleh,"Kalasan, Sleman",/properti/sleman/hos17930499/
Rumah Eks Gudang Masuk Truck Box Di Deket Perempatan Jombor,"Rp 6,5 Miliar",5.0,4.0,4.0,: 952 m²,: 329 m²,"Rumah, Featured, Dekat Sekolah",Fery Kurniawan,Diperbarui 2 minggu yang lalu oleh,"Mlati, Sleman",/properti/sleman/hos17854096/
RUMAH IMUT CANTIK MINIMALIS HARGA EKONOMIS DI DALAM PERUMAHAN GTA BANGUNTAPAN BANTUL DEKAT DM SWALAYAN,Rp 420 Juta,2.0,1.0,1.0,: 59 m²,: 40 m²,"Rumah, Dekat Sekolah",Nelly Oktaviana,Diperbarui 21 menit yang lalu oleh,"Banguntapan, Bantul",/properti/bantul/hos17944282/
Rumah Dijual Siap Huni Furnished Di Tajem Ngemplak Sleman Yogyakarta,"Rp 2,35 Miliar",4.0,3.0,2.0,: 120 m²,: 185 m²,"Rumah, Full Furnished, Siap Huni, Dekat Sekolah",Maria,Diperbarui 12 jam yang lalu oleh,"Maguwoharjo, Yogyakarta",/properti/yogyakarta/hos15761302/
Rumah Dekat Kampus Umy di Jl Bantul Km 8 Sewon Proses Bangun,Rp 500 Juta,3.0,2.0,1.0,: 147 m²,: 78 m²,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah",hamdan nugroho,Diperbarui 24 jam yang lalu oleh,"Sewon, Bantul",/properti/bantul/hos17558034/
Rumah Murah Jogja dekat RS UII Bantul Luas 200m 4 Kmr Tidur,Rp 575 Juta,4.0,2.0,5.0,: 200 m²,: 160 m²,"Rumah, Dekat Sekolah, Dekat Fasilitas Kesehatan",MUKHMAMMAD FAIZIN,Diperbarui 1 hari yang lalu oleh,"Pandak, Bantul",/properti/bantul/hos16025916/
Perumahan Termurah di Jogja Kpr Atau Cicilan Bertahap Tanpa Bunga,Rp 269 Juta,2.0,1.0,1.0,: 60 m²,: 36 m²,"Rumah, Dekat Akses Transportasi, Dekat Sekolah, Dekat Tempat Ibadah",MUKHMAMMAD FAIZIN,Diperbarui 8 jam yang lalu oleh,"Sedayu, Bantul",/properti/bantul/hos8976187/
Rumah kost 2 lantai di Jalan kaliurang dekat UGM Jogja,"Rp 3,25 Miliar",12.0,12.0,5.0,: 250 m²,: 504 m²,"Rumah, Dekat Sekolah, Dekat Landmark",MUKHMAMMAD FAIZIN,Diperbarui 1 hari yang lalu oleh,"Caturtunggal, Sleman",/properti/sleman/hos17778315/
Rumah nyaman SHM di Wonosari dekat perkotaan,Rp 381 Juta,2.0,1.0,1.0,: 72 m²,: 41 m²,"Rumah, Dekat Tempat Wisata",Abdurrahman Albatawi,Diperbarui 3 hari yang lalu oleh,"Playen, Gunung Kidul",/properti/gunung-kidul/hos16711058/
Rumah Jalan Godean Km 6 Jogja Sidoarum Godean Sleman Yogyakarta,Rp 750 Juta,3.0,2.0,2.0,: 163 m²,: 110 m²,Rumah,Anindya Dewangga,Diperbarui 1 minggu yang lalu oleh,"Sidoarum , Sleman",/properti/sleman/hos18023252/
