index,predicted,actual,error,bedroom,bathroom,LT,LB
228,0.0,970000000.0,1.0,4.0,2.0,147.0,100.0
229,470666877.8943938,399000000.0,0.17961623532429524,2.0,1.0,86.0,45.0
230,1286692039.2673829,500000000.0,1.5733840785347657,3.0,2.0,147.0,65.0
231,1330799544.7469306,450000000.0,1.9573323216598457,3.0,1.0,88.0,60.0
232,1177037849.5771656,488000000.0,1.4119628065105851,3.0,1.0,111.0,60.0
233,1177037849.5771656,899000000.0,0.3092745823995168,3.0,3.0,107.0,121.0
234,471100020.5871202,365000000.0,0.2906849879099183,2.0,1.0,100.0,45.0
235,446380847.90482485,365000000.0,0.22296122713650646,2.0,1.0,75.0,45.0
236,446380847.90482485,380000000.0,0.17468644185480225,2.0,1.0,45.0,91.0
237,470666877.8943938,390000000.0,0.20683814844716358,2.0,1.0,91.0,45.0
238,470666877.8943938,395000000.0,0.19156171618833873,2.0,1.0,90.0,45.0
239,468471348.692944,389000000.0,0.20429652620294084,2.0,1.0,91.0,48.0
240,1161982669.258726,650000000.0,0.7876656450134244,3.0,1.0,97.0,66.0
245,0.0,1590000000.0,1.0,3.0,3.0,154.0,118.0
246,0.0,1600000000.0,1.0,3.0,3.0,92.0,97.0
247,1329436298.3360817,800000000.0,0.6617953729201022,3.0,2.0,154.0,60.0
248,390000004.0625867,485000000.0,0.19587628028332635,2.0,1.0,87.0,40.0
250,470872529.5904237,685000000.0,0.31259484731325005,2.0,2.0,92.0,55.0
251,470666877.8943938,395000000.0,0.19156171618833873,2.0,1.0,91.0,45.0
252,457011562.513094,600000000.0,0.23831406247817666,2.0,1.0,85.0,42.0
256,1089257264.8586686,625000000.0,0.7428116237738697,3.0,2.0,104.0,70.0
257,390000001.5582394,170000000.0,1.2941176562249377,2.0,1.0,60.0,30.0
258,0.0,900000000.0,1.0,3.0,3.0,110.0,95.0
259,1307945993.4627202,950000000.0,0.3767852562765475,3.0,2.0,150.0,90.0
260,0.0,800000000.0,1.0,2.0,1.0,72.0,115.0
261,0.0,725000000.0,1.0,3.0,1.0,75.0,70.0
262,463628736.1606723,400000000.0,0.15907184040168076,2.0,1.0,80.0,45.0
264,1329436298.3360817,800000000.0,0.6617953729201022,3.0,2.0,154.0,60.0
265,390000001.5582394,235000000.0,0.6595744747159124,2.0,1.0,73.0,30.0
267,470723026.0434806,690000000.0,0.31779271587901364,2.0,1.0,97.0,50.0
269,469835700.7881397,750000000.0,0.37355239894914705,2.0,1.0,120.0,90.0
270,0.0,1600000000.0,1.0,3.0,3.0,100.0,97.0
271,390000001.45908326,299000000.0,0.30434783096683365,2.0,1.0,66.0,36.0
273,468471348.692944,395000000.0,0.18600341441251644,2.0,1.0,91.0,48.0
274,471350966.6276087,650000000.0,0.27484466672675584,2.0,1.0,96.0,42.0
276,1143103096.9645543,850000000.0,0.3448271728994757,3.0,2.0,125.0,65.0
277,471195497.53564024,690000000.0,0.31710797458602863,2.0,1.0,101.0,52.0
278,0.0,850000000.0,1.0,2.0,1.0,115.0,80.0
279,1328243453.9315434,765000000.0,0.7362659528516906,3.0,2.0,89.0,95.0
281,0.0,593000000.0,1.0,3.0,1.0,91.0,36.0
282,0.0,850000000.0,1.0,2.0,1.0,105.0,70.0
283,390000001.5582394,270000000.0,0.4444444502157015,2.0,1.0,60.0,30.0
284,1184272490.7991157,1000000000.0,0.18427249079911565,3.0,1.0,132.0,100.0
285,390000001.5582394,230000000.0,0.6956521806879974,2.0,1.0,60.0,30.0
286,390000001.5582394,270000000.0,0.4444444502157015,2.0,1.0,60.0,30.0
287,390000001.5582394,270000000.0,0.4444444502157015,2.0,1.0,60.0,30.0
288,0.0,495000000.0,1.0,2.0,1.0,72.0,72.0
290,1190489825.2380502,2100000000.0,0.43310008321997606,3.0,2.0,133.0,80.0
291,1271027378.7282524,2100000000.0,0.3947488672722608,3.0,2.0,128.0,115.0
292,1204714112.8125198,525000000.0,1.2946935482143234,3.0,1.0,95.0,60.0
293,0.0,690000000.0,1.0,3.0,2.0,73.0,112.0
294,390000001.8171387,650000000.0,0.39999999720440205,2.0,1.0,81.0,36.0
295,1329436298.3360817,800000000.0,0.6617953729201022,3.0,2.0,154.0,60.0
296,1177037849.5771656,975000000.0,0.20721830725863138,3.0,1.0,109.0,60.0
298,0.0,975000000.0,1.0,2.0,1.0,120.0,50.0
299,1331000000.0007513,700000000.0,0.9014285714296446,3.0,2.0,86.0,68.0
300,0.0,915000000.0,1.0,3.0,3.0,100.0,80.0
301,390000001.5198505,285000000.0,0.3684210579643877,2.0,1.0,60.0,36.0
302,0.0,1000000000.0,1.0,3.0,2.0,70.0,90.0
304,0.0,395000000.0,1.0,2.0,1.0,119.0,40.0
305,0.0,387000000.0,1.0,2.0,1.0,119.0,40.0
306,0.0,451000000.0,1.0,2.0,1.0,153.0,40.0
307,0.0,454000000.0,1.0,2.0,1.0,153.0,40.0
308,0.0,551000000.0,1.0,2.0,1.0,153.0,40.0
309,468971115.9036912,715000000.0,0.3440963413934389,2.0,1.0,92.0,55.0
310,470872529.5904237,715000000.0,0.34143702155185496,2.0,2.0,92.0,55.0
313,0.0,1930000000.0,1.0,3.0,3.0,120.0,130.0
314,0.0,1930000000.0,1.0,3.0,3.0,120.0,130.0
315,458269949.26242065,580000000.0,0.20987939782341267,2.0,1.0,78.0,45.0
316,458269949.26242065,580000000.0,0.20987939782341267,2.0,1.0,78.0,45.0
318,390000001.7048544,487000000.0,0.1991786412631326,2.0,1.0,80.0,40.0
322,0.0,1270000000.0,1.0,2.0,3.0,91.0,100.0
323,390000001.5198505,299000000.0,0.30434783117006853,2.0,1.0,60.0,36.0
324,1148745799.4280176,580000000.0,0.9805962059103752,3.0,2.0,126.0,75.0
325,390000001.7048544,484000000.0,0.19421487251063135,2.0,1.0,80.0,40.0
326,390000001.7048544,486000000.0,0.19753086068959994,2.0,1.0,80.0,40.0
327,390000001.7048544,487000000.0,0.1991786412631326,2.0,1.0,80.0,40.0
329,1301861437.8302224,1100000000.0,0.18351039802747487,3.0,2.0,91.0,100.0
330,470666877.8943938,390000000.0,0.20683814844716358,2.0,1.0,90.0,45.0
332,470666877.8943938,391000000.0,0.20375160586801483,2.0,1.0,45.0,90.0
333,470666877.8943938,388000000.0,0.21305896364534485,2.0,1.0,45.0,90.0
334,0.0,380000000.0,1.0,2.0,1.0,105.0,36.0
335,390000001.45908326,270000000.0,0.4444444498484565,2.0,1.0,66.0,36.0
337,0.0,875000000.0,1.0,3.0,3.0,105.0,120.0
338,0.0,750000000.0,1.0,2.0,1.0,107.0,107.0
339,468471348.692944,390000000.0,0.20120858639216407,2.0,1.0,90.0,48.0
340,468471348.692944,390000000.0,0.20120858639216407,2.0,1.0,45.0,91.0
341,0.0,1200000000.0,1.0,3.0,3.0,112.0,103.0
342,0.0,385000000.0,1.0,2.0,1.0,45.0,90.0
349,390000001.7048544,551000000.0,0.29219600416541847,2.0,1.0,153.0,40.0
351,470666877.8943938,395000000.0,0.19156171618833873,2.0,1.0,87.0,45.0
352,1331000000.0005422,2000000000.0,0.3344999999997289,3.0,2.0,157.0,125.0
354,390000001.7048544,487000000.0,0.1991786412631326,2.0,1.0,80.0,40.0
355,446380847.90482485,365000000.0,0.22296122713650646,2.0,1.0,75.0,45.0
356,390000001.7048544,487000000.0,0.1991786412631326,2.0,1.0,80.0,40.0
357,390000001.7048544,487000000.0,0.1991786412631326,2.0,1.0,80.0,40.0
358,390000001.7048544,487000000.0,0.1991786412631326,2.0,1.0,80.0,40.0
359,470666877.8943938,395000000.0,0.19156171618833873,2.0,1.0,91.0,45.0
360,0.0,900000000.0,1.0,3.0,3.0,117.0,110.0
362,390000001.5582394,210000000.0,0.8571428645630448,2.0,1.0,60.0,30.0
363,390000001.5582394,210000000.0,0.8571428645630448,2.0,1.0,60.0,30.0
365,470666877.8943938,390000000.0,0.20683814844716358,2.0,1.0,91.0,45.0
366,0.0,370000000.0,1.0,2.0,1.0,70.0,70.0
