title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link,kecamatan,kabupaten_kota
"Dijual Rumah Siap Huni 500 Jt an Diskon 17 Jt, Dekat Kota Jogja",550000000.0,2.0,1.0,1.0,78.0,45.0,"Rumah, Siap Huni, Dekat Akses Transportasi, Dekat Sekolah",Hatta (Adi Jaya Berlian Property),2025-04-10 15:39:32.498659,"Kasihan, Bantul",/properti/bantul/hos18092510/,Kasihan,Bantul
Dijual Rumah Minimalis Modern 2lt Dalam Cluster Dekat Ps Rejodani,1000000000.0,4.0,3.0,1.0,97.0,120.0,Rumah,Brigitta Yulia,2025-04-10 15:39:32.498660,"Ngaglik, Sleman",/properti/sleman/hos18092450/,Ngaglik,Sleman
Rumah Furnished dalam Perumahan Palagan,3200000000.0,5.0,5.0,2.0,204.0,200.0,"Rumah, Full Furnished, Dekat Sekolah",Jogjarumahcom yogyakarta,2025-04-10 15:39:32.498661,"Ngaglik, Sleman",/properti/sleman/hos18092469/,Ngaglik,Sleman
Dijual Rumah Murah 300 Jutaan Di Selomartani Kalasan,315000000.0,2.0,1.0,1.0,64.0,36.0,"Rumah, Dekat Akses Transportasi, Dekat Sekolah, Dekat Tempat Ibadah",Adi Wastu,2025-04-10 15:39:32.498662,"Kalasan, Sleman",/properti/sleman/hos18092459/,Kalasan,Sleman
Rumah Bagus Tanah Luas di Sleman,720000000.0,2.0,2.0,1.0,195.0,50.0,Rumah,Mas Faridl Properti Jogja,2025-04-10 15:39:32.498663,"Ngemplak, Sleman",/properti/sleman/hos18092418/,Ngemplak,Sleman
Rumah Modern Proses 75 Persen Harga 500 Jutaan Di Kalasan,575000000.0,2.0,1.0,0.0,90.0,50.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Tempat Ibadah",Riski Wastu,2025-04-10 15:39:32.498664,"Kalasan, Sleman",/properti/sleman/hos18092415/,Kalasan,Sleman
Rumah Gaya Kekinian Dekat Sekolah Budi Mulya Kalasan Sleman,520000000.0,2.0,1.0,1.0,80.0,50.0,"Rumah, Bebas Banjir, Dekat Pusat Perbelanjaan, Dekat Sekolah",Riski Wastu,2025-04-10 15:39:32.498666,"Kalasan, Sleman",/properti/sleman/hos18092198/,Kalasan,Sleman
"Rumah Murah Siap Huni,cuman 400 Jutaan di Kasihan,bantul",425000000.0,2.0,2.0,1.0,107.0,55.0,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",Bintang Octaviano Wastu,2025-04-10 15:39:32.498667,"Kasihan, Bantul",/properti/bantul/hos18092041/,Kasihan,Bantul
"Rumah 2 Lantai Murah, Siap Huni 3 Km Pamella 7 Kalasan",750000000.0,3.0,2.0,1.0,141.0,150.0,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",Rozaq Wastu,2025-04-10 15:39:32.498668,"Purwomartani , Sleman",/properti/sleman/hos18092040/,Purwomartani,Sleman
"Rumah Second 2 Lantai Murah, 3 Km Pamella 7 Kalasan",750000000.0,3.0,2.0,1.0,141.0,150.0,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",Aryo Wastu,2025-04-10 15:39:32.498669,"Purwomartani , Sleman",/properti/sleman/hos18092015/,Purwomartani,Sleman
Rumah Siap Huni 2 Lantai Dekat Sleman City Hall Jogja,1950000000.0,3.0,2.0,1.0,126.0,120.0,"Rumah, Full Furnished, Siap Huni, Dekat Sekolah",Nando Wastu,2025-04-10 15:39:32.498671,"Ngaglik, Sleman",/properti/sleman/hos18091958/,Ngaglik,Sleman
Promo Jual Rumah Cuma 235 Juta Free Ac Tv Dekat Exit Toll Manisrenggo,235000000.0,2.0,1.0,1.0,63.0,30.0,"Rumah, Dekat Akses Transportasi, Dekat Sekolah, Dekat Tempat Ibadah",ANITA SARI,2025-04-10 15:39:32.498672,"Prambanan, Sleman",/properti/sleman/hos18091951/,Prambanan,Sleman
