title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link,kecamatan,kabupaten_kota
"Rumah Cantik Hanya 8 Menit Ke Kampus 2 Unrito Di Kalasan, Sleman",575000000.0,2.0,1.0,1.0,90.0,50.0,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",Isnan Wastu,2025-04-06 15:39:32.489953,"Kalasan, Sleman",/properti/sleman/hos18063402/,Kalasan,Sleman
Rumah Cantik Di Ngaglik Sleman Dekat Blue Lagoon Jogja,575000000.0,2.0,1.0,1.0,96.0,50.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Tempat Wisata",Erfin Wastu,2025-04-06 15:39:32.490004,"Ngaglik, Sleman",/properti/sleman/hos18061892/,Ngaglik,Sleman
"Rumah 2 Lantai, Furnish Dalam Komplek Perumahan Dekat Maguwoharjo",1750000000.0,3.0,2.0,0.0,126.0,120.0,"Rumah, Full Furnished, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan",Erfin Wastu,2025-04-06 15:39:32.490011,"Ngemplak, Sleman",/properti/sleman/hos18061727/,Ngemplak,Sleman
Rumah Gagah Desain Modern Di Ngemplak Dekat Stadion Maguwoharjo,958000000.0,3.0,2.0,1.0,100.0,68.0,"Rumah, Siap Huni, Bebas Banjir, Dekat Tempat Wisata",Kheny Wastu,2025-04-06 15:39:32.490040,"Ngemplak, Sleman",/properti/sleman/hos18061082/,Ngemplak,Sleman
Di Jual Harga Rendah Rumah Siap Huni Dekat Pamela 7,575000000.0,2.0,1.0,1.0,90.0,50.0,"Rumah, Siap Huni",Diah Lestari N / Ellen,2025-04-06 15:39:32.490048,"Purwomartani , Sleman",/properti/sleman/hos18060568/,Purwomartani,Sleman
Dijual Rumah Siap Huni Di Berbah Dekat Kids Fun Jogja,530000000.0,2.0,1.0,1.0,83.0,50.0,"Rumah, Siap Huni, Dekat Sekolah, Dekat Fasilitas Kesehatan",Kaleb Wastu,2025-04-06 15:39:32.490058,"Berbah, Sleman",/properti/sleman/hos18060369/,Berbah,Sleman
Rumah area seturan dekat kampus Upn,1950000000.0,4.0,2.0,2.0,115.0,180.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah",Jogjarumahcom yogyakarta,2025-04-06 15:39:32.490063,"Depok, Sleman",/properti/sleman/hos18060158/,Depok,Sleman
Miliki Rumah Siap Huni Dekat Dengan Rs Mitra Paramedika,810000000.0,3.0,2.0,2.0,120.0,85.0,"Rumah, Siap Huni, Dekat Sekolah, Dekat Fasilitas Kesehatan",Nando Wastu,2025-04-06 15:39:32.490065,"Ngemplak, Sleman",/properti/sleman/hos18060113/,Ngemplak,Sleman
Rumah di Sleman Scandinavian Ada Pos Security Ambarketawang Gamping,600000000.0,2.0,1.0,1.0,81.0,40.0,"Rumah, Dekat Sekolah, Dekat Fasilitas Kesehatan",DKirana Maison,2025-04-06 15:39:32.490069,"Gamping, Sleman",/properti/sleman/hos18059815/,Gamping,Sleman
Rumah Dijual Sleman Senyaman Villa Ambarketawang Gamping Dalam Cluster,614000000.0,2.0,1.0,1.0,76.0,40.0,"Rumah, Dekat Sekolah, Dekat Fasilitas Kesehatan",DKirana Maison,2025-04-06 15:39:32.490070,"Gamping, Sleman",/properti/sleman/hos18059811/,Gamping,Sleman
Rumah Dijual Sleman Jalan Wates Km 6 + Taman Bermain Nuansa Villa,610000000.0,2.0,1.0,1.0,89.0,40.0,"Rumah, Dekat Sekolah, Dekat Fasilitas Kesehatan",DKirana Maison,2025-04-06 15:39:32.490071,"Gamping, Sleman",/properti/sleman/hos18059804/,Gamping,Sleman
